basename,n_scripts,any_absolute,path,bytes,found
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30.rds,2,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30.rds,321201.0,True
_gene_all.csv,2,False,,,False
snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_binom_enriched_can.txt,2,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_binom_enriched_can.txt,2046.0,True
minus1_control_uniprot_ids_out.txt,2,True,/Users/qkelly/Downloads/idr_batch_results/minus1_control_uniprot_ids_out.txt,33738.0,True
plus1_control_idr.txt,2,False,,,False
plus1_control_gnomAD_variants0406.csv,2,False,/Users/qkelly/Downloads/0406/plus1_control_gnomAD_variants0406.csv,218341.0,True
None of the requested flag columns were found in gene_all0407 (1).csv,2,False,,,False
No features in feature_map were found in gene_all0407 (1).csv,2,False,,,False
NMD_region_NMDPos_peptide_props.csv,2,True,/Users/qkelly/Desktop/clinvar/raw data/sequence_analysis/peptides/NMD_region_NMDPos_peptide_props.csv,6553216.0,True
NMD_region_NMDPos_CIDER.csv,2,True,/Users/qkelly/Desktop/clinvar/raw data/sequence_analysis/CIDER/NMD_region_NMDPos_CIDER.csv,6460381.0,True
NMD_region_DivergentPos_peptide_props.csv,2,True,/Users/qkelly/Desktop/clinvar/raw data/sequence_analysis/peptides/NMD_region_DivergentPos_peptide_props.csv,3809575.0,True
NMD_region_DivergentPos_CIDER.csv,2,True,/Users/qkelly/Desktop/clinvar/raw data/sequence_analysis/CIDER/NMD_region_DivergentPos_CIDER.csv,2856249.0,True
v_ch20260201.csv,2,False,/Users/qkelly/Desktop/clinvar/v_ch20260201.csv,2185495489.0,True
nmd_length_DivergentPos_PARSE_v2.csv,2,True,/Users/qkelly/Desktop/clinvar/raw data/sequence_analysis/parse_v2/nmd_length_DivergentPos_PARSE_v2.csv,668518.0,True
CLinvar_genes_NMDdata.txt,2,True,/Users/qkelly/Desktop/桌面 - q的MacBook Pro/clinvar/CLinvar_genes_NMDdata.txt,2833850.0,True
pfam_influenced_variant_counts.csv,2,False,/Users/qkelly/Desktop/clinvar/pfam_influenced_variant_counts.csv,436.0,True
variants_all_with_pfam_distance.csv,2,False,,,False
variants_annotated.csv,2,False,/Users/qkelly/Desktop/clinvar/variants_annotated.csv,384700537.0,True
.cut.syn.csv,2,False,,,False
plus1_control_merged_uni_loc.csv,2,False,,,False
ptc_can_NMD_df.csv,2,True,,,False
snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_wald_enriched_can.txt,2,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_wald_p_f_syn_20260201_NMDesc_wald_enriched_can.txt,3508.0,True
snv_variants20260201_plp_bh0.2_clinvar.csv,2,False,/Users/qkelly/Desktop/clinvar/snv_variants20260201_plp_bh0.2_clinvar.csv,36849.0,True
plus1_disorder_predictions.csv,2,True,/Users/qkelly/Desktop/idr/plus1_disorder_predictions.csv,20069.0,True
matching_log_v2.csv,2,True,,,False
snv_plp_ptc_p1120_NMDenriched2_can.txt,2,True,,,False
plus1_control_vep_uniprot_intact.txt,1,False,/Users/qkelly/Downloads/vep0512 2/plus1_control_vep_uniprot_intact.txt,17271091.0,True
pfam_overlap_gene_all.csv,1,False,/Users/qkelly/Desktop/clinvar/pfam_overlap_gene_all.csv,5035690.0,True
plus1_variants0406.csv,1,False,/Users/qkelly/Downloads/0406/plus1_variants0406.csv,27794.0,True
plddt_all_NMD.csv,1,True,,,False
plddt_all_FL.csv,1,True,,,False
ppi_all_AD_with_gene_symbols.csv,1,False,,,False
ppi_data.csv,1,False,,,False
ppi_flag_summary.csv,1,False,/Users/qkelly/Desktop/clinvar/ppi_flag_summary.csv,189.0,True
pfam_variant_counts.csv,1,False,,,False
plus1_uniprot_ids_out.txt,1,True,/Users/qkelly/Downloads/idr_batch_results/plus1_uniprot_ids_out.txt,3556.0,True
ppi_interface_variant_counts_AD.csv,1,False,,,False
plus1_trigger_gene0115.txt,1,True,,,False
ppi_interface_variant_counts.csv,1,False,,,False
pli_all_cate.csv,1,False,/Users/qkelly/Desktop/clinvar/others/pli_all_cate.csv,54562.0,True
pfam_flag_summary.csv,1,False,/Users/qkelly/Desktop/clinvar/pfam_flag_summary.csv,319.0,True
pfam_data.csv,1,False,,,False
parse_NMDPos_hierarchical_results.csv,1,False,/Users/qkelly/Desktop/clinvar/parse_NMDPos_hierarchical_results.csv,866.0,True
ppi_overlap_gene_all.csv,1,False,/Users/qkelly/Desktop/clinvar/ppi_overlap_gene_all.csv,5010902.0,True
plus1_idr0603.rds,1,False,,,False
parse_NMDPos_hierarchical_model_list.rds,1,False,/Users/qkelly/Desktop/clinvar/parse_NMDPos_hierarchical_model_list.rds,238891858.0,True
plus1_merged_uni_loc.csv,1,True,,,False
pli_AD_genes.csv,1,False,/Users/qkelly/Desktop/clinvar/pli_AD_genes.csv,54623.0,True
plus1_can_gene0217.txt,1,True,,,False
plus1_can_gene0115.txt,1,True,,,False
plus2_disorder_predictions.csv,1,False,/Users/qkelly/Desktop/idr/plus2_disorder_predictions.csv,18335.0,True
plus2_control_ADgenes.csv,1,False,,,False
plus1_control_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True,/Users/qkelly/Downloads/plus1_control_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,22114758.0,True
plus1_control_uniprot_ids_out.txt,1,True,/Users/qkelly/Downloads/idr_batch_results/plus1_control_uniprot_ids_out.txt,33994.0,True
plus1_control_idr0603.rds,1,False,,,False
plus1_css_gene0115.txt,1,True,,,False
plus2_css_gene0115.txt,1,True,,,False
plus1_control_disorder_predictions.csv,1,True,/Users/qkelly/Downloads/plus1_control_disorder_predictions.csv,168852.0,True
plus2_can_gene0115.txt,1,True,,,False
plus1_fs_results20260201_AD.rds,1,False,/Users/qkelly/Desktop/clinvar/plus1_fs_results20260201_AD.rds,28911.0,True
plus2_fs_results20260201_AD.rds,1,False,/Users/qkelly/Desktop/clinvar/plus2_fs_results20260201_AD.rds,27786.0,True
plus2_can_gene0217.txt,1,True,,,False
plus1_idr.txt,1,False,,,False
plus1_long_gene0115.txt,1,True,,,False
plus1_vep_uniprot_intact.txt,1,False,/Users/qkelly/Downloads/vep0512 2/plus1_vep_uniprot_intact.txt,3949013.0,True
plus2_long_gene0115.txt,1,True,,,False
plus2_trigger_gene0115.txt,1,True,,,False
plus1_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True,/Users/qkelly/Downloads/plus1_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,5049692.0,True
pool_fs_control_cds.csv,1,False,,,False
plus1_control_data.txt,1,True,/Users/qkelly/Downloads/plus1_control_data.txt,160173.0,True
pool_snv_control_cds.csv,1,False,,,False
plus2_gnomAD_control_genes.csv,1,True,,,False
snv_control_ADvariants.csv,1,False,,,False
ppi_pfam_flag_summary.csv,1,False,,,False
snv_variants20260201_plp_dbh_clinvar.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_variants20260201_plp_dbh_clinvar.csv,29562.0,True
structural_summary_NMD_1000_repeats.csv,1,False,/Users/qkelly/Desktop/clinvar/structural_summary_NMD_1000_repeats.csv,1016.0,True
snv_wald_AD.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_wald_AD.csv,1795.0,True
snv_vus_ptc_nmdesc_can_filtered20260201.rds,1,False,/Users/qkelly/Desktop/clinvar/snv_vus_ptc_nmdesc_can_filtered20260201.rds,3706001.0,True
snv_vep_uniprot_intact.txt,1,False,/Users/qkelly/Downloads/vep0512 2/snv_vep_uniprot_intact.txt,4163278.0,True
snv_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True,/Users/qkelly/Downloads/snv_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,6472622.0,True
snv_variants20260201_plp_wald_clinvar.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_variants20260201_plp_wald_clinvar.csv,51868.0,True
snv_variants20260201_plp_clinvar.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_variants20260201_plp_clinvar.csv,34568.0,True
syn_all_can_only.csv,1,False,/Users/qkelly/Desktop/clinvar/syn_all_can_only.csv,653130791.0,True
snv_variants20260201_benign_bh0.2_clinvar.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_variants20260201_benign_bh0.2_clinvar.csv,175.0,True
snv_variants0406.csv,1,False,/Users/qkelly/Downloads/0406/snv_variants0406.csv,35477.0,True
snv_uniprot_ids_out.txt,1,True,/Users/qkelly/Downloads/idr_batch_results/snv_uniprot_ids_out.txt,5151.0,True
snv_plp_ptc_p1120_NMDenriched2_trig.txt,1,True,,,False
